Feldtyp;System;Koords;Detail
System;Giyale-System;10|15;Roter Überriese
System;Klur'il Irg-System;10|2;Binärsystem, Oranger Überriese, Oranger Riese
System;Karamuk-System;12|10;Binärsystem, Blauer Riese, Roter Riese
System;K'okler Paggriv-System;14|4;Gelber Zwerg
System;Roggax Kher-System;16|19;Binärsystem, Gelber Riese, Gelber Zwerg
System;Ancor-System;18|14;Binärsystem, Blauer Zwerg, Roter Zwerg
System;Oramag-System;2|14;Binärsystem, Roter Riese, Gelber Riese
System;Polarian-System;6|19;Binärsystem, Oranger Zwerg, Oranger Zwerg
System;Stupirrd Arr-System;7|8;Roter Zwerg
System;Graksosh-System;21|17;Gelber Riese
System;Shoni Wuggol-System;22|3;Protostelare Scheibe
System;Leted-System;23|20;Binärsystem, Blauer Riese, Blauer Riese
System;Unilera-System;24|7;Roter Riese
System;Storad-System;28|16;Binärsystem, Roter Überriese, Oranger Riese
System;Pegasia-System;30|2;Gelber Überriese
System;Ico Khok-System;30|8;Oranger Zwerg
System;Ecom Deinra-System;33|11;Weißer Zwerg
System;Pudgir-System;36|7;Neutronenstern Blau
System;Zephyra-System;37|14;Binärsystem, Roter Zwerg, Gelber Zwerg
System;Vurmo Pritt-System;39|18;Blauer Zwerg
System;Thivetha-System;39|4;Binärsystem, Roter Riese, Oranger Zwerg
System;Lut-System;42|9;Binärsystem, Blauer Riese, Gelber Zwerg
System;Androzani-System;45|2;Oranger Zwerg
System;Kinrad-System;48|7;Oranger Überriese
System;Jekbei Irak-System;51|3;Binärsystem, Blauer Überriese, Blauer Riese
System;J'rahl Rrirgilt-System;54|18;Binärsystem, Roter Überriese, Roter Riese
System;Kizrigur-System;59|12;Blauer Zwerg
System;Dekima-System;62|15;Gelber Riese
System;Erohl Ch'qiavas-System;63|9;Oranger Riese
System;Puciuse-System;66|13;Binärsystem, Blauer Riese, Gelber Riese
System;Icaria-System;66|3;Pulsar
System;Maas-System;67|6;Binärsystem, Blauer Riese, Blauer Zwerg
System;Cilmen-System;70|10;Blauer Riese
System;Titurik-System;70|2;Oranger Zwerg
System;Greirdz-System;77|12;Binärsystem, Blauer Zwerg, Blauer Zwerg
System;Pamihk-System;78|4;Weißer Zwerg
System;Otobba-System;83|2;Oranger Riese
System;Diracrek-System;86|11;Oranger Zwerg
System;Dakaria-System;87|8;Blauer Zwerg
System;Drexa-System;89|14;Blauer Zwerg
System;Still Zursharv-System;89|4;Planetarischer Nebel Orange
System;Rastaft-System;94|11;Binärsystem, Blauer Zwerg, Oranger Zwerg
System;Pithana-System;97|16;Binärsystem, Oranger Zwerg, Gelber Zwerg
System;Gizaria-System;101|2;Binärsystem, Roter Zwerg, Oranger Zwerg
System;Puchrux-System;102|14;Oranger Überriese
System;Drik-System;109|2;Blauer Riese
System;Dolok-System;111|13;Binärsystem, Oranger Riese, Neutronenstern
System;Univira-System;115|9;Binärsystem, Roter Riese, Oranger Riese
System;Achass Urmada-System;118|19;Blauer Zwerg
System;Throit Zidim-System;119|4;Binärsystem, Blauer Riese, Blauer Riese
System;Giana Kott-System;10|31;Oranger Riese
System;Rungokur-System;12|22;Neutronenstern Weiß
System;Ch'okorgh Zartat-System;13|26;Roter Riese
System;Navoke-System;16|32;Blauer Riese
System;Trurouchk-System;20|28;Binärsystem, Oranger Riese, Schwarzes Loch
System;Zaan Barrar-System;4|34;Binärsystem, Gelber Riese, Neutronenstern
System;Vezgogad-System;6|29;Schwarzes Loch Zwerg Lila
System;Nir Misgik-System;7|23;Brauner Zwerg
System;Neranzo-System;21|24;Roter Zwerg
System;Kexac-System;28|28;Gelber Zwerg
System;Mazarrot-System;31|21;Oranger Überriese
System;Ruix Bir-System;35|26;Binärsystem, Blauer Riese, Roter Riese
System;Chronsaem-System;37|39;Binärsystem, Oranger Überriese, Gelber Riese
System;Gras-System;38|21;Planetarischer Nebel Weiß
System;Jorod-System;47|30;Binärsystem, Roter Riese, Roter Zwerg
System;Quasari-System;47|37;Binärsystem, Roter Riese, Neutronenstern
System;Xalmom-System;49|22;Blauer Überriese
System;Nivula-System;62|29;Gelber Zwerg
System;Ovikrax-System;65|34;Oranger Zwerg
System;Yuhl Penurgh-System;72|40;Binärsystem, Blauer Zwerg, Blauer Zwerg
System;Chuchriutho-System;76|28;Gelber Zwerg
System;Utsogi Dornov-System;80|31;Binärsystem, Blauer Riese, Oranger Riese
System;Mukal-System;95|30;Binärsystem, Blauer Riese, Neutronenstern
System;Celestia-System;101|27;Roter Riese
System;K'edrosso Xommrom-System;102|21;Binärsystem, Blauer Überriese, Blauer Riese
System;Tateelo-System;104|35;Binärsystem, Blauer Riese, Oranger Riese
System;Pruc Rangam-System;107|22;Binärsystem, Roter Riese, Roter Riese
System;Ochaza Barrorn-System;108|28;Oranger Riese
System;Sleop-System;108|40;Oranger Zwerg
System;Corus-System;110|37;Neutronenstern Weiß
System;Faekt-System;114|23;Weißer Zwerg
System;H'hulist Kerc-System;115|31;Gelber Riese
System;Lede-System;117|39;Brauner Zwerg
System;Bythiath Ch'azhyhrir-System;119|23;Gelber Zwerg
System;Luug-System;119|36;Binärsystem, Gelber Überriese, Gelber Riese
System;Degus Mvurg-System;19|52;Binärsystem, Blauer Riese, Gelber Zwerg
System;Ukl'al Mardolt-System;23|44;Oranger Überriese
System;Garuss D'ghirg-System;30|56;Blauer Zwerg
System;Ela Ala-System;42|55;Binärsystem, Oranger Zwerg, Gelber Zwerg
System;Cilaith-System;43|47;Binärsystem, Blauer Zwerg, Oranger Zwerg
System;Shell Xukogi-System;49|52;Roter Überriese
System;Hevau-System;50|43;Weißer Zwerg
System;Torrogg-System;54|57;Gelber Riese
System;Hractor-System;64|43;Binärsystem, Oranger Riese, Oranger Zwerg
System;Shrissaahl Ch'shrylrar-System;64|51;Binärsystem, Blauer Überriese, Roter Riese
System;Olais-System;73|55;Binärsystem, Blauer Zwerg, Gelber Zwerg
System;Brimcim-System;83|49;Gelber Überriese
System;Tsos Sackict-System;83|56;Binärsystem, Oranger Überriese, Gelber Riese
System;Okror Grossess-System;89|51;Roter Zwerg
System;Brai-System;93|54;Binärsystem, Blauer Riese, Oranger Riese
System;Velluna-System;97|43;Gelber Riese
System;Hebbei-System;101|49;Gelber Zwerg
System;Numec Kel-System;103|45;Roter Riese
System;Blireya-System;103|55;Roter Überriese
System;Vezduz-System;110|58;Blauer Zwerg
System;Gallifrax-System;116|54;Gelber Zwerg
System;Mexen-System;3|65;Binärsystem, Roter Überriese, Oranger Riese
System;S'Kicrek-System;3|75;Gelber Überriese
System;Yem Khom-System;6|72;Pulsar
System;Renclo-System;8|68;Blauer Überriese
System;Shithis Th'okaonnan-System;9|76;Binärsystem, Blauer Riese, Gelber Riese
System;Thrijik Gazak-System;22|80;Binärsystem, Blauer Riese, Blauer Riese
System;Karaka-System;23|65;Gelber Zwerg
System;Gobor-System;24|75;Binärsystem, Oranger Überriese, Gelber Riese
System;Berik-System;35|75;Binärsystem, Roter Überriese, Gelber Riese
System;Tollas D'ghoshi-System;36|67;Blauer Überriese
System;Falerbo-System;47|64;Oranger Riese
System;Satika-System;58|75;Binärsystem, Oranger Überriese, Gelber Riese
System;Shaerr-System;67|79;Binärsystem, Blauer Riese, Blauer Zwerg
System;Malap-System;68|61;Blauer Riese
System;Agagh Octolt-System;71|71;Binärsystem, Gelber Überriese, Gelber Riese
System;Aplakt-System;79|66;Schwarzes Loch Orange
System;Utrohk D'ghensoj-System;79|77;Neutronenstern Weiß
System;Gopagh Hash-System;87|75;Binärsystem, Gelber Riese, Schwarzes Loch
System;Sao-System;93|73;Protostelare Scheibe
System;Suraza-System;97|78;Binärsystem, Blauer Überriese, Oranger Riese
System;Fareva-System;99|63;Binärsystem, Oranger Riese, Schwarzes Loch
System;Chronora-System;105|73;Binärsystem, Oranger Riese, Gelber Riese
System;Moran-System;111|64;Schwarzes Loch Zwerg Rot
System;S'Mavik-System;116|76;Gelber Überriese
System;Buskith Teddi-System;11|93;Roter Überriese
System;Grere-System;13|82;Protostelare Scheibe
System;Rirtek-System;13|98;Binärsystem, Blauer Riese, Oranger Zwerg
System;Karnora-System;16|85;Gelber Riese
System;Digis-System;16|90;Binärsystem, Gelber Riese, Gelber Riese
System;Idroteh-System;2|99;Binärsystem, Blauer Riese, Roter Zwerg
System;S'Makrax-System;20|96;Oranger Zwerg
System;Pachriuhk-System;3|85;Binärsystem, Blauer Überriese, Blauer Riese
System;Dela Draalmo-System;4|94;Brauner Zwerg
System;Vrondiuk-System;6|98;Binärsystem, Roter Riese, Neutronenstern
System;Brimcerr-System;8|100;Neutronenstern Weiß
System;Sata-System;8|89;Binärsystem, Roter Zwerg, Roter Zwerg
System;Chubil-System;24|88;Binärsystem, Roter Riese, Roter Riese
System;Datama-System;25|95;Blauer Überriese
System;Tacail-System;30|81;Binärsystem, Blauer Überriese, Gelber Riese
System;Goga-System;30|91;Oranger Riese
System;Ugral D'ghabarg-System;34|97;Binärsystem, Oranger Riese, Oranger Riese
System;Pirtuz-System;36|88;Binärsystem, Blauer Riese, Roter Riese
System;Encliuhk-System;38|84;Gelber Überriese
System;Surarrot-System;49|83;Oranger Riese
System;Shiraath Ch'chennak-System;49|90;Schwarzes Loch Lila
System;Darhet-System;64|87;Binärsystem, Roter Überriese, Gelber Riese
System;Ting-System;65|95;Roter Überriese
System;Depitt Trin-System;74|95;Weißer Zwerg
System;Kash Omek-System;78|89;Oranger Überriese
System;Trirnarr Amet-System;84|82;Planetarischer Nebel Gelb
System;Xoarez-System;88|95;Binärsystem, Roter Riese, Oranger Zwerg
System;Urosh-System;92|88;Binärsystem, Blauer Riese, Schwarzes Loch
System;Elav Krushtegh-System;95|98;Binärsystem, Blauer Überriese, Blauer Riese
