Name;Koords;Passierbarkeit;Ausfall der Tarnung;Beeinträchtigung der Manövrierbarkeit;Beeinträchtigung der Zielerfassung;Blockade der Langstreckensensoren;Geringe Chance auf energetischen Bonus;Kurzzeitiger Ausfall der Nahbereichssensoren;Leck am EPS;Leck am Reaktor;Leck am Warpantrieb;Minderung des Energiewaffenschadens;Steigerung des Energiewaffenschadens;Störung der Langstreckensensoren;Störung der Schildemitter;Verschleierung der Signaturen;Verstecke Subraumspuren;Versteckte Signaturen;x;y
Thalassanebel;1|1;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Thalassanebel;2|1;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
Thalassanebel;3|1;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
Thalassanebel;4|1;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1
Thalassanebel;5|1;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1
Thalassanebel;6|1;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1
Thalassanebel;7|1;passierbar;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;1
Thalassanebel;8|1;passierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1
Thalassanebel;1|2;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
Thalassanebel;2|2;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
Thalassanebel;3|2;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
Thalassanebel;4|2;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2
Thalassanebel;5|2;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2
Thalassanebel;6|2;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2
Thalassanebel;7|2;passierbar;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;2
Thalassanebel;8|2;passierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2
Thalassanebel;1|3;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
Thalassanebel;2|3;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
Thalassanebel;3|3;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
Thalassanebel;4|3;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3
Thalassanebel;5|3;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3
Thalassanebel;6|3;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3
Thalassanebel;7|3;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3
Thalassanebel;8|3;passierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3
Thalassanebel;1|4;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4
Thalassanebel;2|4;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
Thalassanebel;3|4;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4
Thalassanebel;4|4;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
Thalassanebel;5|4;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4
Thalassanebel;6|4;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4
Thalassanebel;7|4;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4
Thalassanebel;8|4;passierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4
Thalassanebel;9|4;passierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4
Thalassanebel;1|5;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5
Thalassanebel;2|5;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5
Thalassanebel;3|5;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5
Thalassanebel;4|5;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5
Thalassanebel;5|5;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5
Thalassanebel;6|5;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5
Thalassanebel;7|5;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5
Thalassanebel;8|5;passierbar;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;5
Thalassanebel;9|5;passierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5
Thalassanebel;1|6;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6
Thalassanebel;2|6;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6
Thalassanebel;3|6;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6
Thalassanebel;4|6;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6
Thalassanebel;5|6;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6
Thalassanebel;6|6;unpassierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6
Thalassanebel;7|6;passierbar;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;6
Thalassanebel;8|6;passierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6
Thalassanebel;9|6;passierbar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6
