Name;Koords;Passierbarkeit;cloak_unuseable;warpdrive_leak;lss_malfunction;no_spacecraft_count;dubious_spacecraft_count;no_subspace_lines;lss_blockade;nfs_malfunction_cooldown;shield_malfunction;reactor_leak;eps_leak;hit_chance_interference;evade_chance_interference;energy_weapon_buff;energy_weapon_nerf;regeneration_chance;x;y
Algol-Schleier;10|85;Nebel passierbar;;;;;;;;;;;;;;;;;10;85
Algol-Schleier;10|86;Nebel passierbar;;;;;;;;;;;;;;;;;10;86
Algol-Schleier;10|87;Nebel unpassierbar;;;;;;;;;;;;;;;;;10;87
Algol-Schleier;10|88;Nebel passierbar;;;;;;;;;;;;;;;;;10;88
Algol-Schleier;11|87;Nebel passierbar;;;;;;;;;;;;;;;;;11;87
Algol-Schleier;11|88;Nebel passierbar;;;;;;;;;;;;;;;;;11;88
Algol-Schleier;8|85;Nebel passierbar;;;;;;;;;;;;;;;;;8;85
Algol-Schleier;9|85;Nebel passierbar;;;;;;;;;;;;;;;;;9;85
Algol-Schleier;9|86;Nebel unpassierbar;;;;;;;;;;;;;;;;;9;86
Algol-Schleier;9|87;Nebel passierbar;;;;;;;;;;;;;;;;;9;87
Alvarezwolke;26|59;Nebel passierbar;;;;;;;;;;;;;;;;;26;59
Alvarezwolke;26|60;Nebel passierbar;;;;;;;;;;;;;;;;;26;60
Alvarezwolke;27|59;Nebel passierbar;;;;;;;;;;;;;;;;;27;59
Alvarezwolke;27|60;Nebel passierbar;;;;;;;;;;;;;;;;;27;60
Alvarezwolke;28|58;Nebel passierbar;;;;;;;;;;;;;;;;;28;58
Alvarezwolke;28|59;Nebel unpassierbar;;;;;;;;;;;;;;;;;28;59
Alvarezwolke;28|60;Nebel unpassierbar;;;;;;;;;;;;;;;;;28;60
Alvarezwolke;28|61;Nebel passierbar;;;;;;;;;;;;;;;;;28;61
Alvarezwolke;29|58;Nebel passierbar;;;;;;;;;;;;;;;;;29;58
Alvarezwolke;29|59;Nebel unpassierbar;;;;;;;;;;;;;;;;;29;59
Alvarezwolke;29|60;Nebel unpassierbar;;;;;;;;;;;;;;;;;29;60
Alvarezwolke;29|61;Nebel unpassierbar;;;;;;;;;;;;;;;;;29;61
Alvarezwolke;30|60;Nebel passierbar;;;;;;;;;;;;;;;;;30;60
Amritsarschleier;114|80;Nebel passierbar;;;;;;;;;;;;;;;;;114;80
Amritsarschleier;114|81;Nebel passierbar;;;;;;;;;;;;;;;;;114;81
Amritsarschleier;114|82;Nebel passierbar;;;;;;;;;;;;;;;;;114;82
Amritsarschleier;114|83;Nebel passierbar;;;;;;;;;;;;;;;;;114;83
Amritsarschleier;115|80;Nebel passierbar;;;;;;;;;;;;;;;;;115;80
Amritsarschleier;115|81;Nebel passierbar;;;;;;;;;;;;;;;;;115;81
Amritsarschleier;115|82;Nebel unpassierbar;;;;;;;;;;;;;;;;;115;82
Amritsarschleier;115|83;Nebel unpassierbar;;;;;;;;;;;;;;;;;115;83
Amritsarschleier;115|84;Nebel passierbar;;;;;;;;;;;;;;;;;115;84
Amritsarschleier;116|80;Nebel passierbar;;;;;;;;;;;;;;;;;116;80
Amritsarschleier;116|81;Nebel passierbar;;;;;;;;;;;;;;;;;116;81
Amritsarschleier;116|82;Nebel unpassierbar;;;;;;;;;;;;;;;;;116;82
Amritsarschleier;116|83;Nebel unpassierbar;;;;;;;;;;;;;;;;;116;83
Amritsarschleier;116|84;Nebel passierbar;;;;;;;;;;;;;;;;;116;84
Amritsarschleier;117|80;Nebel passierbar;;;;;;;;;;;;;;;;;117;80
Amritsarschleier;117|81;Nebel passierbar;;;;;;;;;;;;;;;;;117;81
Amritsarschleier;117|82;Nebel passierbar;;;;;;;;;;;;;;;;;117;82
Amritsarschleier;117|83;Nebel passierbar;;;;;;;;;;;;;;;;;117;83
Amritsarschleier;117|84;Nebel passierbar;;;;;;;;;;;;;;;;;117;84
Amunatanebel;69|65;Nebel passierbar;;;;;;;;;;;;;;;;;69;65
Amunatanebel;69|66;Nebel passierbar;;;;;;;;;;;;;;;;;69;66
Amunatanebel;69|67;Nebel passierbar;;;;;;;;;;;;;;;;;69;67
Amunatanebel;69|68;Nebel passierbar;;;;;;;;;;;;;;;;;69;68
Amunatanebel;69|69;Nebel passierbar;;;;;;;;;;;;;;;;;69;69
Amunatanebel;70|64;Nebel passierbar;;;;;;;;;;;;;;;;;70;64
Amunatanebel;70|65;Nebel passierbar;;;;;;;;;;;;;;;;;70;65
Amunatanebel;70|66;Nebel passierbar;;;;;;;;;;;;;;;;;70;66
Amunatanebel;70|67;Nebel unpassierbar;;;;;;;;;;;;;;;;;70;67
Amunatanebel;70|68;Nebel passierbar;;;;;;;;;;;;;;;;;70;68
Amunatanebel;70|69;Nebel passierbar;;;;;;;;;;;;;;;;;70;69
Amunatanebel;71|65;Nebel passierbar;;;;;;;;;;;;;;;;;71;65
Amunatanebel;71|66;Nebel unpassierbar;;;;;;;;;;;;;;;;;71;66
Amunatanebel;71|67;Nebel unpassierbar;;;;;;;;;;;;;;;;;71;67
Amunatanebel;71|68;Nebel passierbar;;;;;;;;;;;;;;;;;71;68
Amunatanebel;72|65;Nebel passierbar;;;;;;;;;;;;;;;;;72;65
Amunatanebel;72|66;Nebel passierbar;;;;;;;;;;;;;;;;;72;66
Amunatanebel;72|67;Nebel unpassierbar;;;;;;;;;;;;;;;;;72;67
Amunatanebel;72|68;Nebel passierbar;;;;;;;;;;;;;;;;;72;68
Amunatanebel;73|66;Nebel passierbar;;;;;;;;;;;;;;;;;73;66
Amunatanebel;73|67;Nebel passierbar;;;;;;;;;;;;;;;;;73;67
Andromeda-Nebelwall;49|36;Nebel passierbar;;;;;;;;;;;;;;;;;49;36
Andromeda-Nebelwall;50|35;Nebel passierbar;;;;;;;;;;;;;;;;;50;35
Andromeda-Nebelwall;50|36;Nebel passierbar;;;;;;;;;;;;;;;;;50;36
Andromeda-Nebelwall;51|34;Nebel passierbar;;;;;;;;;;;;;;;;;51;34
Andromeda-Nebelwall;51|35;Nebel unpassierbar;;;;;;;;;;;;;;;;;51;35
Andromeda-Nebelwall;51|36;Nebel unpassierbar;;;;;;;;;;;;;;;;;51;36
Andromeda-Nebelwall;51|37;Nebel passierbar;;;;;;;;;;;;;;;;;51;37
Andromeda-Nebelwall;52|34;Nebel passierbar;;;;;;;;;;;;;;;;;52;34
Andromeda-Nebelwall;52|35;Nebel passierbar;;;;;;;;;;;;;;;;;52;35
Andromeda-Nebelwall;52|36;Nebel unpassierbar;;;;;;;;;;;;;;;;;52;36
Andromeda-Nebelwall;52|37;Nebel passierbar;;;;;;;;;;;;;;;;;52;37
Andromeda-Nebelwall;53|36;Nebel passierbar;;;;;;;;;;;;;;;;;53;36
Andromeda-Nebelwall;53|37;Nebel passierbar;;;;;;;;;;;;;;;;;53;37
Antares-Dunkelnebel;27|74;Nebel passierbar;;;;;;;;;;;;;;;;;27;74
Antares-Dunkelnebel;28|73;Nebel passierbar;;;;;;;;;;;;;;;;;28;73
Antares-Dunkelnebel;28|74;Nebel unpassierbar;;;;;;;;;;;;;;;;;28;74
Antares-Dunkelnebel;28|75;Nebel passierbar;;;;;;;;;;;;;;;;;28;75
Antares-Dunkelnebel;29|73;Nebel passierbar;;;;;;;;;;;;;;;;;29;73
Antares-Dunkelnebel;29|74;Nebel unpassierbar;;;;;;;;;;;;;;;;;29;74
Antares-Dunkelnebel;29|75;Nebel passierbar;;;;;;;;;;;;;;;;;29;75
Antares-Dunkelnebel;30|74;Nebel passierbar;;;;;;;;;;;;;;;;;30;74
Antares-Dunkelnebel;30|75;Nebel passierbar;;;;;;;;;;;;;;;;;30;75
Aquernebel;110|31;Nebel passierbar;;;;;;;;;;;;;;;;;110;31
Aquernebel;111|30;Nebel passierbar;;;;;;;;;;;;;;;;;111;30
Aquernebel;111|31;Nebel unpassierbar;;;;;;;;;;;;;;;;;111;31
Aquernebel;111|32;Nebel passierbar;;;;;;;;;;;;;;;;;111;32
Aquernebel;112|29;Nebel passierbar;;;;;;;;;;;;;;;;;112;29
Aquernebel;112|30;Nebel unpassierbar;;;;;;;;;;;;;;;;;112;30
Aquernebel;112|31;Nebel passierbar;;;;;;;;;;;;;;;;;112;31
Aquernebel;113|29;Nebel passierbar;;;;;;;;;;;;;;;;;113;29
Aquernebel;113|30;Nebel passierbar;;;;;;;;;;;;;;;;;113;30
Aquilastrudel;39|17;Nebel passierbar;;;;;;;;;;;;;;;;;39;17
Aquilastrudel;39|19;Nebel passierbar;;;;;;;;;;;;;;;;;39;19
Aquilastrudel;39|20;Nebel passierbar;;;;;;;;;;;;;;;;;39;20
Aquilastrudel;39|21;Nebel passierbar;;;;;;;;;;;;;;;;;39;21
Aquilastrudel;40|16;Nebel passierbar;;;;;;;;;;;;;;;;;40;16
Aquilastrudel;40|17;Nebel passierbar;;;;;;;;;;;;;;;;;40;17
Aquilastrudel;40|18;Nebel passierbar;;;;;;;;;;;;;;;;;40;18
Aquilastrudel;40|19;Nebel passierbar;;;;;;;;;;;;;;;;;40;19
Aquilastrudel;40|20;Nebel passierbar;;;;;;;;;;;;;;;;;40;20
